#@***-----------------------------------------------------***
#@***-------**-----INTEREST2----------------**------------***
#@***-----------------------------------------------------***
#---CHECKED acrobdoc.txt    2.9  MEGS OF acrobat document files
#---CHECKED bashtml.zip     9.9  MEGS OF all MY HTML & BASIC files
#---CHECKED list.inx        PUBLIC DOMAIN SW LIB BBS LIST
#---CHECKED monster1.log    LARGE BBS LIST
#---CHECKED netscap2.txt    7.5  MEGS OF internet EMAILS
#---CHECKED onefile.txt     DASH'S CDROM LIST
#---CHECKED pcbfiles.lst    US ROBOTICS BBS LIST
#---CHECKED text.lst        OLD DOS BASED CDROM LIST
#---CHECKED textfile.txt    24.6 MEGS OF all MY COMPUTER DOCUMENTS
#---CHECKED tube.txt        14.5 MEGS OF EMAILS
#**************----------------------------------************
#@**************---------------------------------************
Zip - contains
ZIP 1,375,976 04/06/93 6:18
ZIP 1,383,434 20/08/93 16:52
ZIP 1,390,950 01/12/93 22:06
ZIP 1,394,239 01/11/02 14:04
ZIP 1,396,221 06/11/02 5:11
ZIP 1,396,241 01/02/03 13:56
ZIP 1,396,241 04/02/03 14:51
ZIP 1,396,241 06/11/02 5:22
ZIP 1,396,242 14/01/03 13:39
ZIP 1,396,242 16/02/03 23:50
ZIP 1,396,243 16/02/03 23:23
ZIP 1,396,243 18/02/03 16:33
ZIP 1,396,244 11/01/03 14:31
ZIP 1,396,244 14/02/03 20:11
ZIP 1,396,245 26/02/03 13:55
ZIP 1,396,246 14/02/03 20:10
ZIP 1,396,270 24/03/03 13:56
ZIP 1,396,271 02/03/03 2:05
ZIP 1,396,283 03/04/03 1:46
ZIP 1,396,283 03/04/03 18:10
ZIP 1,396,283 19/04/03 15:15
ZIP 1,396,283 21/04/03 17:57
ZIP 1,396,284 03/04/03 1:35
ZIP 1,396,286 03/04/03 3:43
ZIP 1,396,366 04/05/03 20:39
ZIP 1,396,366 12/05/03 1:49
ZIP 1,396,366 15/05/03 1:25
ZIP 1,396,367 07/05/03 15:27
ZIP 1,396,367 12/05/03 2:54
ZIP 1,396,368 12/05/03 1:40
ZIP 1,399,491 25/05/94 12:37
ZIP 1,400,178 03/08/93 1:19
ZIP 1,405,880 25/04/94 17:20
ZIP 1,409,013 26/11/93 22:01
ZIP 1,409,548 15/02/93 3:42
ZIP 1,415,664 06/08/02 0:57
ZIP 1,420,972 14/09/94 13:43
ZIP 1,434,669 01/07/93 7:31
ZIP 1,443,497 17/10/93 23:50
ZIP 1,443,732 25/04/94 17:21
ZIP 1,446,599 03/07/93 20:07
ZIP 1,453,278 03/08/93 5:45
ZIP 1,461,858 19/05/00 18:22
ZIP 1,471,968 17/06/93 9:12
ZIP 1,474,635 09/05/93 18:36
ZIP 1,480,512 26/11/93 19:03
ZIP 1,499,354 17/09/93 2:29
ZIP 1,511,065 27/07/94 22:05
ZIP 1,514,061 20/07/01 21:38
ZIP 1,528,370 14/02/94 16:43
ZIP 1,534,165 04/12/93 14:22
ZIP 1,538 26/09/02 1:44
ZIP 1,540,076 18/06/94 1:19
ZIP 1,545,838 05/07/93 5:00
ZIP 1,551,682 03/08/93 1:35
ZIP 1,554,300 01/03/94 14:38
ZIP 1,567,796 09/07/93 12:21
ZIP 1,567,859 02/02/94 16:45
ZIP 1,568,831 11/02/94 20:11
ZIP 1,593,978 10/05/94 7:49
ZIP 1,601,797 18/11/93 14:09
ZIP 1,622,016 27/07/93 19:54
ZIP 1,632,024 13/11/93 19:32
ZIP 1,637,774 01/04/93 11:59
ZIP 1,642,468 16/09/93 22:54
ZIP 1,643,714 25/05/93 4:44
ZIP 1,648,710 03/07/93 23:18
ZIP 1,656,291 25/05/94 12:26
ZIP 1,660,950 18/09/93 18:23
ZIP 1,666,137 01/06/97 22:59
ZIP 1,667,998 08/05/93 20:08
ZIP 1,673 21/02/93 22:48
ZIP 1,683,529 04/04/93 3:45
ZIP 1,687,221 30/05/94 22:44
ZIP 1,688,622 05/07/93 3:07
ZIP 1,698,033 15/08/94 12:29
ZIP 1,703,979 08/05/93 21:03
ZIP 1,706,071 08/07/94 16:13
ZIP 1,706,786 06/02/93 18:57
ZIP 1,715,732 22/09/93 1:03
ZIP 1,718 26/09/02 1:44
ZIP 1,719,451 12/05/94 17:51
ZIP 1,723,948 07/11/01 23:13
ZIP 1,727,229 29/05/94 21:43
ZIP 1,748,647 21/09/02 2:10
ZIP 1,753 19/04/00 8:00
ZIP 1,780,785 10/08/94 15:19
ZIP 1,789,372 20/05/93 23:08
ZIP 1,799,661 17/09/93 2:42
ZIP 1,805,945 11/04/93 15:18
ZIP 1,815,929 14/04/93 1:02
ZIP 1,817,652 28/04/94 21:20
ZIP 1,818,740 17/05/94 15:10
ZIP 1,836,701 06/03/01 21:08
ZIP 1,841,688 30/09/93 18:11
ZIP 1,850,453 06/11/93 16:32
ZIP 1,862,567 20/05/93 23:27
ZIP 1,867,485 25/07/94 22:14
ZIP 1,873 01/06/97 19:19
ZIP 1,874,231 08/04/94 19:27
ZIP 1,878,882 01/01/96 18:55
ZIP 1,880,271 17/06/93 9:19
ZIP 1,893,596 21/04/94 2:06
ZIP 1,916,605 27/07/93 15:15
ZIP 1,921,051 03/07/93 19:51
ZIP 1,940,788 07/11/93 14:31
ZIP 1,969,027 02/02/94 16:45
ZIP 1,971,200 04/04/93 15:42
ZIP 1,988,302 15/03/01 20:47
ZIP 1,993,720 04/01/80 9:48
ZIP 1.10->
ZIP 1.9 or Unzip
ZIP 10,138,203 16/07/01 23:23
ZIP 10,182,509 09/07/94 15:37
ZIP 10,214 26/02/93 0:10
ZIP 10,244,460 12/04/93 17:55
ZIP 10,557,694 22/06/94 12:05
ZIP 10,808,222 12/08/02 2:48
ZIP 10,822,332 30/06/00 20:34
ZIP 10,845,602 03/07/94 17:37
ZIP 10,888 29/02/00 19:35
ZIP 10,957 23/04/99 22:22
ZIP 100,347 21/02/93 22:49
ZIP 101,045 11/01/93 19:35
ZIP 101,137 01/06/97 19:17
ZIP 101,345 31/08/02 3:48
ZIP 101,829 03/04/01 20:50
ZIP 102,399 09/10/93 1:54
ZIP 103,636 18/11/93 13:42
ZIP 103,805 05/11/93 12:22
ZIP 105,070 31/08/93 21:41
ZIP 106,544 05/04/93 21:43
ZIP 106,669 01/08/93 22:04
ZIP 107,699 17/02/93 23:15
ZIP 107,808 10/12/92 12:19
ZIP 108,006 20/07/94 2:08
ZIP 108,032 16/03/01 22:37
ZIP 108,506 23/09/93 14:30
ZIP 108,557 08/10/93 13:34
ZIP 109,632 24/02/93 22:02
ZIP 11,030,905 29/05/94 13:58
ZIP 11,049,366 11/05/94 13:57
ZIP 11,070,957 31/05/93 3:14
ZIP 11,183,951 08/03/01 18:52
ZIP 11,300 21/09/93 23:31
ZIP 11,333,387 05/07/93 13:26
ZIP 11,379,711 27/06/94 1:31
ZIP 11,385,035 26/11/93 16:02
ZIP 11,399,916 06/06/93 6:06
ZIP 11,419 31/08/93 19:10
ZIP 11,450,038 28/02/93 20:02
ZIP 11,593,598 10/05/94 9:51
ZIP 11,619,652 19/08/02 23:55
ZIP 11,724,657 11/05/94 19:32
ZIP 110,024 20/07/94 2:08
ZIP 111,655 05/07/93 21:08
ZIP 114,187 21/09/02 3:48
ZIP 115,541 06/04/93 19:22
ZIP 115,680 28/07/94 19:28
ZIP 116,146 22/02/01 23:21
ZIP 116,829 18/02/96 5:15
ZIP 117,567 09/03/94 12:45
ZIP 118,564 16/06/95 13:09
ZIP 12,078,527 23/06/94 18:56
ZIP 12,081 11/12/94 13:13
ZIP 12,200,879 11/05/94 14:43
ZIP 12,201,404 08/10/93 12:10
ZIP 12,224,987 17/07/94 18:16
ZIP 12,245,184 11/03/94 21:02
ZIP 12,408 02/02/94 16:45
ZIP 12,430,577 23/07/95 18:10
ZIP 12,470,608 29/05/94 19:25
ZIP 12,620 20/07/94 2:08
ZIP 12,739 20/07/94 2:09
ZIP 12,802 01/06/97 19:19
ZIP 12,822 28/10/93 14:52
ZIP 12,874 20/02/93 16:55
ZIP 12,976,075 23/06/94 12:33
ZIP 12,998,552 11/08/01 2:06
ZIP 120,135 25/03/96 15:00
ZIP 120,489 03/06/94 19:35
ZIP 120,489 21/04/94 2:48
ZIP 121,006 20/07/94 2:10
ZIP 121,828 22/04/93 18:00
ZIP 122,090 31/08/93 21:39
ZIP 122,699 01/06/97 19:31
ZIP 123 26/09/02 1:44
ZIP 123,023 03/08/93 21:23
ZIP 123,398 20/06/98 20:13
ZIP 123,494 03/04/01 20:23
ZIP 124,156 31/08/93 21:42
ZIP 124,470 11/02/93 4:22
ZIP 124,581,733 28/03/03 21:35
ZIP 125,866 15/02/93 21:01
ZIP 126,306 15/02/93 23:28
ZIP 126,926 22/01/94 15:18
ZIP 126,946 14/08/93 18:33
ZIP 127,698 17/12/93 23:47
ZIP 129,215 01/06/97 19:19
ZIP 129,497 07/01/00 20:03
ZIP 129,814 26/09/02 1:44
ZIP 13,053,281 12/06/94 19:54
ZIP 13,314 29/11/01 0:41
ZIP 13,353 21/05/97 15:21
ZIP 13,486 14/04/97 23:45
ZIP 13,727 07/08/02 1:50
ZIP 13,784,114 28/03/93 18:27
ZIP 130,836 04/05/93 21:07
ZIP 131,556 01/03/94 14:36
ZIP 132,904 07/02/01 16:57
ZIP 133,168 21/08/93 15:13
ZIP 133,297 12/04/93 9:12
ZIP 133,439 17/02/93 12:25
ZIP 134,106 20/07/94 2:08
ZIP 134,196 31/08/02 3:36
ZIP 135,659 11/07/93 17:24
ZIP 135,984 30/03/03 19:24
ZIP 136,783 20/07/94 2:10
ZIP 136,960 23/04/99 22:22
ZIP 137,126 07/09/00 5:34
ZIP 137,786 20/07/01 21:36
ZIP 138,304 01/06/97 19:31
ZIP 139,316 16/02/91 10:42
ZIP 14,163,966 11/05/94 13:31
ZIP 14,212,009 31/08/02 3:50
ZIP 14,627 11/04/94 6:12
ZIP 14,790,388 07/10/93 21:50
ZIP 14,821 02/02/94 16:45
ZIP 14,847,834 16/03/01 22:58
ZIP 140,783 16/03/01 22:07
ZIP 141,642 01/06/97 19:19
ZIP 141,722 21/09/93 14:01
ZIP 141,977 08/04/93 13:50
ZIP 142,730 06/04/93 19:20
ZIP 142,850 10/04/94 17:09
ZIP 143,013 29/12/93 22:57
ZIP 143,197 18/01/00 17:34
ZIP 144,647 14/09/02 0:53
ZIP 145,204 28/07/94 19:28
ZIP 145,702 08/10/93 13:31
ZIP 145,735 25/04/94 18:46
ZIP 145,853 20/02/93 10:10
ZIP 146,271 08/02/00 22:04
ZIP 146,663 12/03/94 23:53
ZIP 147,957 28/09/93 14:16
ZIP 148,996 08/03/01 18:45
ZIP 149,048 06/10/93 21:36
ZIP 149,429 22/09/93 22:41
ZIP 149,519 15/02/93 23:15
ZIP 15,278,264 01/04/02 7:54
ZIP 15,316,274 29/05/94 18:44
ZIP 15,445,263 26/06/94 23:40
ZIP 152,417 08/04/93 14:33
ZIP 155,995 01/05/02 21:38
ZIP 155,995 02/05/02 0:09
ZIP 156,441 11/05/02 16:06
ZIP 156,813 07/04/93 20:15
ZIP 157,221 01/08/95 15:04
ZIP 157,521 05/08/97 3:37
ZIP 157,608 22/11/93 21:54
ZIP 159,093 24/05/94 7:50
ZIP 159,529 31/08/93 21:41
ZIP 159,824 28/10/93 14:52
ZIP 16,075 02/02/94 16:45
ZIP 16,415 20/07/94 2:08
ZIP 16,534 20/07/94 2:08
ZIP 16,671 01/06/97 19:17
ZIP 16,924,507 12/04/94 21:42
ZIP 162,294 24/01/94 23:21
ZIP 162,323 24/08/93 19:25
ZIP 163,571 05/06/93 11:10
ZIP 163,679 23/01/00 16:23
ZIP 163,782 26/09/02 1:44
ZIP 165,009 21/09/93 23:04
ZIP 166,474 24/02/93 23:32
ZIP 166,532 22/09/93 0:00
ZIP 166,655 04/01/80 20:39
ZIP 167,308 11/05/94 18:25
ZIP 167,847 02/02/94 16:45
ZIP 168,236 20/06/94 16:58
ZIP 169,412 10/05/93 9:07
ZIP 169,766 12/02/96 0:22
ZIP 17,193,780 10/09/02 0:19
ZIP 17,263 05/07/93 21:02
ZIP 17,268 26/09/02 1:44
ZIP 17,439,769 29/05/94 18:36
ZIP 17,442 01/06/97 19:18
ZIP 17,812 30/03/03 19:23
ZIP 17,827,454 12/11/01 12:01
ZIP 17,863,386 16/07/01 23:21
ZIP 17,959 02/02/94 16:45
ZIP 17.63ukp per chip...
ZIP 170,788 16/03/01 22:03
ZIP 171,222 16/07/01 23:14
ZIP 174,095 05/02/93 0:18
ZIP 174,731 01/06/97 19:17
ZIP 175,112 29/11/93 16:03
ZIP 175,449 01/11/93 12:41
ZIP 176,041 11/02/94 20:13
ZIP 177,035 05/07/93 11:54
ZIP 178,012 22/01/94 15:18
ZIP 178,245 01/06/97 19:18
ZIP 179,440 22/10/01 1:15
ZIP 179,719 09/05/93 23:26
ZIP 18,326 02/08/93 1:02
ZIP 18,889 20/02/93 10:10
ZIP 180,302 02/02/93 1:53
ZIP 180,483 22/09/93 22:36
ZIP 181,658 25/07/93 15:09
ZIP 181,759 21/09/93 23:01
ZIP 182,805 03/02/93 0:45
ZIP 182,936 21/05/97 15:12
ZIP 185,306 28/07/94 19:28
ZIP 185,968 23/09/93 6:04
ZIP 186,596 21/04/93 17:33
ZIP 186,921 20/07/94 2:08
ZIP 19,032 15/10/93 15:49
ZIP 19,040 02/02/94 16:45
ZIP 19,399 28/07/94 19:28
ZIP 19,418,317 13/07/01 22:40
ZIP 19,425 02/02/94 16:45
ZIP 19,455 01/06/97 19:17
ZIP 19,518 03/04/01 20:23
ZIP 19,811,290 19/05/93 12:32
ZIP 190,618 24/02/93 22:04
ZIP 191,333 20/07/94 2:08
ZIP 191,566 08/04/93 14:18
ZIP 191,682 01/03/94 18:25
ZIP 191,842 07/09/00 5:34
ZIP 191,842 23/04/99 22:22
ZIP 192,443 10/11/93 0:09
ZIP 192,478 07/01/00 19:03
ZIP 192,849 10/09/94 16:22
ZIP 192,965 06/07/93 20:49
ZIP 194,607 02/09/93 21:57
ZIP 195,554 25/02/93 0:53
ZIP 196,803 15/03/94 18:53
ZIP 197,741 14/03/01 12:56
ZIP 197,816 21/09/93 23:01
ZIP 199,166 01/06/97 19:18
ZIP 2 of 3:
ZIP 2,008,820 25/02/01 20:17
ZIP 2,013,191 07/12/93 17:37
ZIP 2,023,381 26/05/93 4:21
ZIP 2,025,561 08/04/93 3:01
ZIP 2,038,553 03/05/94 7:43
ZIP 2,075,159 29/05/97 19:46
ZIP 2,081,135 26/11/93 21:43
ZIP 2,089,916 10/04/94 16:30
ZIP 2,096,491 16/07/01 23:17
ZIP 2,105,775 28/09/93 14:02
ZIP 2,119,399 25/07/94 13:05
ZIP 2,122 02/02/94 16:45
ZIP 2,123,851 24/09/93 11:11
ZIP 2,134,792 11/05/94 14:22
ZIP 2,135,100 01/12/93 22:36
ZIP 2,137,424 21/05/93 0:11
ZIP 2,145,911 21/05/93 14:27
ZIP 2,146,999 20/08/93 16:10
ZIP 2,158,524 12/09/93 13:52
ZIP 2,168,320 04/06/93 5:26
ZIP 2,173,614 04/04/93 4:29
ZIP 2,190,733 31/08/93 21:35
ZIP 2,204,024 10/04/93 16:28
ZIP 2,207,410 10/04/93 16:35
ZIP 2,209,809 29/05/97 19:45
ZIP 2,230,302 23/09/93 15:16
ZIP 2,242,009 31/08/93 21:26
ZIP 2,244,986 31/03/01 1:47
ZIP 2,281,625 18/06/94 1:23
ZIP 2,290,473 18/01/94 19:34
ZIP 2,291,312 21/05/97 15:14
ZIP 2,326,672 03/07/93 19:09
ZIP 2,331,915 09/03/94 23:01
ZIP 2,344,035 14/07/94 11:40
ZIP 2,358,371 24/04/93 2:23
ZIP 2,366,472 26/02/94 1:14
ZIP 2,378,401 16/07/94 3:22
ZIP 2,392,982 30/11/93 21:35
ZIP 2,397,973 02/11/93 15:24
ZIP 2,416,324 30/09/93 19:14
ZIP 2,417,224 12/02/94 16:32
ZIP 2,436,257 25/07/93 17:20
ZIP 2,443,622 20/08/93 16:01
ZIP 2,453,921 28/04/94 21:49
ZIP 2,468,685 16/05/93 16:17
ZIP 2,477,320 21/12/93 18:03
ZIP 2,496,775 24/10/94 9:54
ZIP 2,498,060 26/11/93 21:54
ZIP 2,511,334 12/04/93 23:48
ZIP 2,517,625 12/07/94 18:29
ZIP 2,523,557 21/07/01 1:36
ZIP 2,529,191 02/06/93 10:07
ZIP 2,598,916 01/03/93 0:22
ZIP 2,607,017 30/09/93 19:12
ZIP 2,650,608 13/11/93 21:54
ZIP 2,664,782 29/05/97 16:05
ZIP 2,676,273 07/03/01 13:13
ZIP 2,696,041 24/04/93 0:26
ZIP 2,702,319 26/05/97 20:21
ZIP 2,708,356 12/01/94 17:37
ZIP 2,756,547 29/09/93 13:45
ZIP 2,786,804 08/10/93 21:16
ZIP 2,798,668 16/07/01 23:15
ZIP 2,799,767 04/01/94 18:57
ZIP 2,833,690 05/11/93 13:07
ZIP 2,837,578 17/03/01 21:39
ZIP 2,863,103 25/08/94 14:49
ZIP 2,876,409 27/09/93 0:52
ZIP 2,901,770 31/07/93 22:07
ZIP 2,923,055 26/11/93 21:29
ZIP 2,956,923 09/07/94 15:32
ZIP 2,994,637 13/04/93 0:02
zip 2. Suport.
ZIP 2.0 (PKZip 2.04g
Zip 2.0 is a
Zip 2.0 overlay for
zip 2.0 overlay patches-
ZIP 2.02 is a
ZIP 2.02A is a
ZIP 2.04 viewer for
ZIP 2.22 FINAL
ZIP 2.x
ZIP 20,063 10/05/93 9:23
ZIP 20,178 02/02/94 16:45
ZIP 20,333 29/02/00 19:35
ZIP 20,871 01/06/97 19:30
ZIP 200,242 29/06/93 21:59
ZIP 200,699 20/02/93 16:45
ZIP 201,614 01/06/97 19:17
ZIP 204,693 08/02/00 20:57
ZIP 204,734 01/08/95 15:05
ZIP 204,965 04/02/93 19:49
ZIP 206,475 31/08/93 21:15
ZIP 206,481 22/04/93 3:25
ZIP 206,746 04/01/80 20:21
ZIP 208,042 06/04/93 19:17
ZIP 208,161 26/07/93 19:04
ZIP 209,894 09/02/96 2:02
ZIP 210,290 16/06/95 13:11
ZIP 213,003 28/09/93 14:21
ZIP 213,273 06/10/93 21:38
ZIP 213,315 06/10/93 17:08
ZIP 213,347 03/06/94 20:54
ZIP 215,828 08/02/92 14:22
ZIP 217,501 06/12/01 22:39
ZIP 217,570 04/11/93 18:39
ZIP 219,588 09/11/93 23:55
ZIP 219,838 21/09/93 14:32
ZIP 22,060 15/04/99 13:09
ZIP 22,281 01/06/97 19:17
ZIP 22,410 21/01/00 22:09
ZIP 222,665 08/04/93 13:44
ZIP 224,137 17/03/01 21:59
ZIP 224,740 26/05/97 20:20
ZIP 224,762,270 15/10/02 2:56
ZIP 228,176 09/07/94 23:08
ZIP 228,819 02/02/94 16:45
ZIP 23,010 02/02/94 16:45
ZIP 23,559 15/03/94 18:25
zip 231,028 7-09-93 5:24p
ZIP 231,180 16/07/01 23:16
ZIP 232,436 11/05/94 0:19
ZIP 233,593 24/11/93 0:00
ZIP 236,114 09/05/93 9:29
ZIP 236,212 11/05/01 22:14
ZIP 236,828 19/05/00 17:56
ZIP 239,809 10/04/94 22:12
ZIP 239,840 08/03/01 18:35
ZIP 239,884 02/02/94 16:45
