*plausible-----------------a| apparently reasonable and valid  
*play_along----------------v| cooperate or pretend to cooperate; "He decided to play long with with the burglars for the moment"  
*play_along----------------v| perform an accompaniment to; "The orchestra could barely follow the frequent pitch changes of the soprano"  
*play_around---------------v| commit adultery; "he plays around a lot"  
*play_back-----------------v| reproduce (a recording) on a recorder; "The lawyers played back the conversation to show that their client was innocent"  
*play_it_by_ear------------v| decide on one's actions as one goes along, depending on the situation; "She didn't know what to expect from her new job, so she played it by ear"  
*play_out------------------v| become spent or exhausted; "The champion's strength played out fast"  
*play_out------------------v| perform or be performed to the end; "How will the election drama be played out?"  
*play_out------------------v| play to a finish; "We have got to play this game out, even thought it is clear that we have last"  
*play_possum---------------v| to pretend to be dead  
*playable------------------a| capable of or suitable for being played or played on; "a playable lie in golf"; "the baseball fan reached out and caught a foul that was judged playable"; "the ball field was playable"; "harpsichord music is readily playable"- P.H.Lang  
*played--------------------a| (of games) engaged in; "the loosely played game"  
*played_out----------------s| worn out; "a played out deck of cards"  
*playful-------------------a| full of fun and high spirits; "playful children sjust let loose from school"  
*playfully-----------------r| in a playful manner; "she loosened the half-hoop of diamonds on her left hand third finger and held it out to him playfully"  
*plea-bargain--------------v| agree to plead guilty in return for a lesser charge; "If he plea-bargains, he will be sent to a medium-security prison for 8 years"  
*pleach--------------------v| interlace the shoots of; "pleach a hedge"  
*plead---------------------v| appeal or request earnestly; "I pleaded with him to stop"  
*plead---------------------v| enter a plea, as in courts of law; "She pleaded not guilty"  
*plead---------------------v| make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts  
*plead---------------------v| offer as an excuse or plea; "She was pleading insanity"  
*pleasant------------------a| affording pleasure; being in harmony with your taste or likings; "a pleasant person to be around"; "we had a pleasant evening together"; "a pleasant scene"; "pleasant sensations"  
*pleasant------------------s| pleasant in manner or behavior; "I didn`t enjoy it and probably wasn't a pleasant person to be around"  
*pleasantly----------------r| in a cheerful manner; "`I'll do the dishes,' he said pleasantly"  
*pleasantly----------------r| in an enjoyable manner; "we spent a pleasantly lazy afternoon"  
*please--------------------r| used in polite request; "please pay attention"  
*please--------------------v| be the will of or have the will (to); "he could do many things if he pleased"  
*please--------------------v| give pleasure to or be pleasing to; "These colors please the senses"; "a pleasing sensation"  
*please--------------------v| give satisfaction; "The waiters around her aim to please"  
*pleased-------------------a| experiencing or manifesting pleasure  
*pleased-------------------s| feeling pleasurable satisfaction over something by which you measures your self-worth; "proud of their child"  
*pleasing------------------a| giving pleasure and satisfaction; "a pleasing piece of news"; "pleasing in manner and appearance"  
*pleasing------------------s| able to please or win approval  
*pleasingly----------------r| in a pleasing manner; "the room was pleasingly large"  
*pleat---------------------v| fold into pleats, "Pleat the cloth"  
*pleated-------------------s| folded into pleats  
*plebeian------------------a| of the common people of ancient Rome; "a plebeian magistrate"  
*pledge--------------------v| bind or secure by a pledge; "I was pledged to silence"  
*pledge--------------------v| give as a guarantee; "I pledge my honor"  
*pledge--------------------v| pay (an amount of money) as a contribution to a charity or service, especially at regular intervals; "I pledged $10 a month to my favorite radio station"  
*pledge--------------------v| promise solemnly and formally; "I pledge that will honor my wife"  
*pledged-------------------s| bound by or as if by an oath; "according to an early tradition became his sworn brother"; "sworn enemies"  
*plenarily-----------------r| in a plenary manner; "an empire destined to enter the Commonwealth plenarily"  
*plenary-------------------s| full in all respects; "a plenary session of the legislature"; "a diplomat with plenary powers"  
*plentiful-----------------s| existing in great number or quantity; "rhinoceroses were once plentiful here"  
*pleochroic----------------a| of or relating to or having pleochroism  
*pleomorphic---------------a| relating to or characterized by pleomorphism  
*pleonastic----------------s| repetition of same sense in different words; "`a true fact' and `a free gift' are pleonastic expressions"; "the phrase `a beginner who has just started' is tautological"; "at the risk of being redundant I return to my original proposition"- J.B.Conant  
*pleural-------------------a| of or relating to the pleura or the walls of the thorax; "pleural muscles"  
*pleurocarpous-------------a| (of mosses) having the archegonia on short lateral branches  
*pliantly------------------r| in a pliant manner  
*ploddingly----------------r| in a plodding manner; "this writer ploddingly accumulates detail after detail"  
*plonk_down----------------v| drop heavily  
*plop----------------------r| with a short hollow thud; "plop came the ball down to the corner of the green"  
*plop----------------------v| drop something with a plopping sound  
*plop----------------------v| drop with the sound of something falling into water  
*plosive-------------------s| produced by complete closure of the oral passage and subsequent release with a burst of air (as `p' and `d' in `pit' or `dog')  
*plot----------------------v| plan secretly, usually something illegal; "They plotted the overthrow fo the government"  
*plow----------------------v| move in a way resembling that of a plow cutting into or going through the soil; "The ship plowed through the water"  
*plow----------------------v| to break and turn over earth especially with a plow; "Farmer Jones plowed his east field last week"; "turn the earth in the Spring"  
*plowed--------------------a| (of farmland) broken and turned over with a plow; "plowed fields"  
*pluck---------------------v| pull lightly but sharply with a plucking motion; "he plucked the strings of his mandolin"  
*pluck---------------------v| pull or pull out sharply; "pluck the flowers off the bush"  
*pluck---------------------v| strip of feathers; "pull a chicken"; "pluck the capon"  
*plucked-------------------a| of a stringed instrument; sounded with the fingers or a plectrum  
*plucked-------------------s| having the feathers removed, as from a pelt or a fowl; "a plucked chicken"; "an unfeathered goose"  
*pluckily------------------r| in a plucky manner; "he was Brentford's defensive star in pluckily holding out the determined Reading raids for long periods"  
*plucky--------------------s| showing courage in the face of danger; "a plucky lampooner of the administration"  
*plug----------------------v| fill or close tightly with or as if with a plug; "plug the hole"; "stop up the leak"  
*plug----------------------v| make a plug for; praise the qualities or in order to sell or promote  
*plug----------------------v| persist in working hard; "Students must plug away at this problem"  
*plug_away-----------------v| work doggedly or persistently; "She keeps plugging away at her dissertation"  
*plug_in-------------------v| plug into an outlet; "Please plug in the toaster!"; "Connect the TV so we can watch the football game tonight"  
*plugged-------------------a| (of a coin) altered by the insertion of a plug of base metal  
*plumaged------------------s| often used as combining forms; "fully plumaged young bird"; "brightly feathered birds"; "brilliantly plumaged parrots"  
*plumate-------------------s| having an ornamental plume or feathery tuft  
*plumb---------------------r| conforming to the direction of a plumb line  
*plumb---------------------r| exactly; "fell plumb in the middle of the puddle"  
*plumb---------------------s| exactly vertical; "the tower of Pisa is far out of plumb"  
*plumb---------------------v| adjust with a plumb line so as to make vertical  
*plumb---------------------v| examine thoroughly and in great depth  
*plumb---------------------v| measure the depth of something  
*plumb---------------------v| weight with lead  
*plumbable-----------------s| possible to determine the depth of  
*plumbaginaceous-----------a| of or pertaining to or characteristic of plants of the family Plumbaginaceae  
*plumbed-------------------s| (of water depth) measured by a line and plumb  
*plumbic-------------------a| relating to or consisting of lead  
*plume---------------------v| deck with a plume; "a plumed helmet"  
*plume---------------------v| form a plume; "The chimneys were pluming the sky"; "The engine was pluming black smoke"  
*plumed--------------------s| having or covered with or abounding in plumes; "the plumed serpent"; "white-plumed egrets"  
*plumelike-----------------s| resembling a plume; "the dog's plumy tail"  
*plumlike------------------s| resembling a plum fruit  
*plummet-------------------v| drop sharply; "The stock market plummeted"  
*plummy--------------------s| of a voice; affectedly mellow and rich; "the radio announcer's plummy voice"  
*plummy--------------------s| very desirable; "a plummy leading role"  
*plump---------------------r| straight down especially heavily or abruptly; "the anchor fell plump into the sea"; "we dropped the rock plump into the water"  
*plump---------------------v| give support (to) or make a choice (of) one out of a group or number; "I plumped for the losing candidates"  
*plump_in------------------v| arrive suddenly and unannounced; "He plumped in on a Sunday morning"  
*plump_out-----------------v| depart suddenly; "He plumped out of the house"  
*plumping------------------s| very large; of exceptional size for its kind; "won by a plumping majority"  
*plunder-------------------v| steal goods; take as spoils; "During the earthquake people looted the stores that were deserted by their owners"  
*plundering----------------s| given to taking by force what is desired  
*plunge--------------------v| begin with vigor; "He launched into a long diatribe"; "She plunged into a dangerous adventure"  
*plunge--------------------v| cause to be immersed; "The professor plunged his students into the study of the Italian text"  
*plunge--------------------v| dash violently or with great speed or impetuosity; "She plunged at it eagerly"  
*plunge--------------------v| fall abruptly; "It plunged to the bottom of the well"  
*pluperfect----------------s| more than perfect; "he spoke with pluperfect precision"  
*plural--------------------a| grammatical number category referring to two or more items or units  
*pluralistic---------------a| of or relating to the philosophical doctrine of pluralism; "a pluralistic culture"  
*plus----------------------a| on the positive side or higher end of a scale; "a plus value"; "temperature of plus 5 degrees"; "a grade of C plus"  
*plus----------------------s| involving advantage or good; "a plus (or positive) factor"  
*plutocratic---------------a| of or relating to or characteristic of a plutocrat  
*ply-----------------------v| apply oneself diligently; "Ply one's trade"  
*ply-----------------------v| travel a route regularly; "Ships ply the waters near the coast"  
*ply-----------------------v| use diligently; "ply your wits!"  
*ply-----------------------v| wield vigorously; "ply an axe"  
*pneumatic-----------------a| of or relating to or using air (or a similar gas); "pneumatic drill"; "pneumatic tire"  
*pneumatically-------------r| in a pneumatic manner; "at the present time the transmission is very often done hydraulically or pneumatically"  
*pneumococcal--------------a| of or derived from or caused by bacteria of the genus pneumococcus  
*pneumogastric-------------a| of or relating to or involving the lungs and stomach  
*pneumonic-----------------a| pertaining to or characterized by or affected by pneumonia; "pneumonic plague"  
*pneumonic-----------------a| relating to or affecting the lungs; "pulmonary disease"  
*po-faced------------------s| humorless and disapproving  
*poach---------------------v| cook in a simmering liquid; "poached apricots"  
*poach---------------------v| hunt illegally; "people are poaching elephants for their ivory"  
*pocked--------------------s| marked by or as if by smallpox or acne or other eruptive skin disease  
*pocked--------------------s| used of paved surfaces having holes or pits  
*pocket--------------------v| put in one's pocket; "He pocketed the change"  
*pocket--------------------v| take unlawfully  
*pocket-size---------------s| small enough to be carried in a garment pocket; "pocket-size paperbacks"  
*pockmark------------------v| mark wit pockmarks; "Her face was pockmarked by the disease"  
*pod-----------------------v| produce pods, of plants  
*pod-----------------------v| take something out of its shell or pod; "pod peas or beans"  
*podlike-------------------s| resembling a pod  
*poetic--------------------a| of or relating to poetry; "poetic works"; "a poetic romance"  
*poetic--------------------a| of or relating to poets; "poetic insight"  
*poetic--------------------s| characteristic of or befitting poetry; "poetic diction"  
*poetic--------------------s| characterized by romantic imagery; "Turner's vision of the rainbow...was poetic"  
*poetically----------------r| in a poetic manner; "poetically expressed"  
*poignant------------------s| keenly distressing to the mind or feelings; "poignant anxiety"  
*poikilothermic------------s| of animals except birds and mammals; having body temperature that varies with the environment  
*point---------------------v| be positionable in a specified manner; "The gun points with ease"  
*point---------------------v| mark (a psalm text) to indicate the points at which the music changes  
*point---------------------v| mark (Hebrew words) with diacritics  
*point---------------------v| mark with diacritics; "point the letter"  
*point---------------------v| repair the joints of bricks; "point a chimney"  
*point-blank---------------r| in a direct and unequivocal manner; "I asked him point-blank whether he wanted the job"  
*point-blank---------------s| close enough to go straight to the target; "point-blank range"; "a point-blank shot"  
*point-of-sale-------------a| of or relating to or being the location where something is purchased  
*point_jam-----------------v| jam a narrow band of frequencies; "We can counter point-jamming effectively"  
*point_the_way-------------v| indicate the right path or direction; "The sign pointed the way to London"  
*point_up------------------v| emphasize, especially by identification; "This novel points up the racial problems in England"  
*pointed-------------------a| having a point  
*pointed-------------------s| direct and obvious in meaning or reference; often unpleasant; "a pointed critique"; "a pointed allusion to what was going on"; "another pointed look in their direction"  
*pointedly-----------------r| in such a manner as to make something clearly evident; "he pointedly ignored the question"  
*pointilist----------------s| of or relating to pointilism  
*pointing------------------a| that points  
*pointless-----------------a| not having a point especially a sharp point; "my pencils are all pointless"  
*pointless-----------------s| lacking import; "a pointless remark"; "a life essentially purposeless"; "senseless violence"  
*pointlessly---------------r| in a pointless manner; "he spent his life in pointlessly tiresome drudgery"  
*pointy-toed---------------s| having a pointed toe; "pointy-toed shoes"  
*poise---------------------v| be motionless, in suspension; "The bird poised for a few moments before it attacked"  
*poise---------------------v| cause to be balanced or suspended  
*poise---------------------v| hold or carry in equilibrium  
*poised--------------------s| marked by balance or equilibrium and readiness for action; "a gull in poised flight"; "George's poised hammer"  
*poison--------------------v| add poison to; "Her husband poisoned her drink in order to kill her"  
*poison--------------------v| administer poison to; "She poisoned her husband but he did not die"  
*poison--------------------v| kill by its poison; "This mushrooms can kill"  
*poison--------------------v| kill with poison; "She poisoned her husband"  
*poison--------------------v| spoil as if by poison; "poison someone's mind"; "poison the atmosphere in the office"  
*poisonous-----------------s| having the qualities or effects of a poison  
*poisonous-----------------s| marked by deep ill will; deliberately harmful; "a malevolent lie"; "poisonous hate...in his eyes"- Ernest Hemingway; "venomous criticism"; "vicious gossip"  
*poisonous-----------------s| not safe to eat  
*poisonously---------------r| in a very malevolent manner  
*poke----------------------v| make a hole by poking  
*poke----------------------v| stir by poking; "poke the embers in the fireplace"  
*poke_into-----------------v| enter briefly; "We poked into the bar"  
*poke_into-----------------v| poke one's nose into  
*polar---------------------a| located at or near or coming from the earth's poles; "polar diameter"; "polar zone"; "a polar air mass"; "Antarctica is the only polar continent"  
*polar---------------------a| of or existing at or near a geographical pole or within the Arctic or Antarctic Circles; "polar regions"  
*polar---------------------s| having a pair of equal and opposite charges  
*polarize------------------v| become polarized in a conflict or contrasting situation  
*polarize------------------v| cause to concentrate about two conflicting or contrasting positions  
*polarize------------------v| cause to vibrate in a definite pattern; "polarize light waves"  
*polarographic-------------a| of or involving polarography  
*pole----------------------v| deoxidize molten metals by stirring them with a wooden pole  
*pole----------------------v| support on poles; "pole climbing plants like beans"  
*poleax--------------------v| fell with or as if with a poleax  
*polemic-------------------s| of or involving dispute or controversy  
*polemize------------------v| engage in a controversy; "The two historians polemicized for years"  
*polemoniaceous------------a| of or pertaining to or characteristic of plants of the family Polemoniaceae  
*policy-making-------------s| concerned with policy, not administration  
*Polish--------------------a| of or relating to Poland or its people or culture; "Polish sausage"  
*polish--------------------v| (of surfaces) make shine; "shine the silver, please"; "polish my shoes"  
*polish--------------------v| bring to a highly developed, finished, or refined state; "polish your social manners"  
*polish--------------------v| improve or perfect by pruning or polishing; "refine one's style of writing"  
*polished------------------a| perfected or made shiny and smooth; "his polished prose"; "in a freshly ironed dress and polished shoes"; "freshly polished silver"  
*polished------------------s| showing a high degree of refinement and the assurance that comes from wide social experience; "his polished manner"; "maintained an urbane tone in his letters"  
*polite--------------------a| showing regard for others in manners, speech, behavior, etc.  
*politely------------------r| in a polite manner; "the policeman answered politely, `Now look here, lady...'"  
*politic-------------------a| marked by artful prudence, expedience, and shrewdness; "it is neither polite nor politic to get into other people's quarrels"; "a politic decision"; "a politic manager"; "a politic old scoundrel"; "a shrewd and politic reply"  
*politic-------------------s| smoothly agreeable and courteous with a degree of sophistication; "he was too politic to quarrel with so important a personage"; "the hostess averted a confrontation between two guests with a diplomatic change of subject"; "the manager pacified the customer with a smooth apology for the error"; "affable, suave, moderate men...smugly convinced of their respectability" - Ezra Pound  
*political-----------------a| involving or characteristic of politics or parties or politicians; "calling a meeting is a political act in itself"- Daniel Goleman; "political pressure"; "a political machine"; "political office"; "political policy"  
*political-----------------a| of or relating to the profession of governing; "political career"  
*political-----------------a| of or relating to your views about social relationships involving authority or power; "political opinions"  
*politically---------------r| with regard to government; "politically organized units"  
*politically---------------r| with regard to social relationships involving authority; "politically correct clothing"  
*politically_correct-------a| exhibiting political correctness  
*politically_incorrect-----a| exhibiting political incorrectness  
*politicize----------------v| give a political character to; "politicize the discussion"  
*politick------------------v| engage in political activities; "This colleague is always politicking"  
*poll----------------------v| convert into a pollard; "pollard trees"  
*poll----------------------v| get the opinions (of people) by asking specific questions  
*poll----------------------v| get the votes of  
*poll----------------------v| vote in an election at a polling station  
*pollinate-----------------v| fertilize by transfering pollen  
*pollute-------------------v| make impure; "The industrial wastes polluted the lake"  
*polo-neck-----------------s| having a close-fitting neckband or collar  
*poltroon------------------s| characterized by complete cowardliness  
*polyandrous---------------s| having more than one husband at a time  
*polyatomic----------------a| of or relating to a molecule made up of more than two atoms  
*polychromatic-------------a| (of light or other electromagnetic radiation) composed of more than one wavelength; "polychromatic light"  
*polychromatic-------------s| having or exhibiting many colors  
*polychrome----------------v| color with many colors; make polychrome  
*polycrystalline-----------s| composed of aggregates of crystals; "polycrystalline metals"  
*polydactyl----------------a| of or relating to a person (or other vertebrate) having more than the normal number of digits  
*polyestrous---------------s| having more than one period of estrus per year  
*polygamous----------------a| having more than one mate at a time; used of relationships and individuals  
*polygenic-----------------s| of or relating to an inheritable character that is controlled by several genes at once; of or related to or determined by polygenes  
*polyglot------------------s| having a command of or composed in many languages; "a polyglot traveler"; "a polyglot Bible contains versions in different languages"  
*polygonal-----------------a| having many sides or relating to a surface marked by polygons; "polygonal structure"  
*polygynous----------------s| having more than one wife at a time  
*polyhedral----------------a| of or relating to or resembling a polyhedron  
*polymeric-----------------a| of or relating to or consisting of a polymer; "a polymeric compound"  
*polymerize----------------v| cause (a compound) to polymerize  
*polymerize----------------v| undergo polymerization  
*polymorphemic-------------a| consisting of two or more morphemes  
*polymorphic---------------a| relating to the occurrence of more than one kind of individual (independent of sexual differences) in an interbreeding population; "a polymorphic species"  
*polymorphic---------------s| having or occurring in several distinct forms; "man is both polymorpphic and polytypic"; "a polymorphous god"  
*polymorphous--------------a| relating to the crystallization of a compound in two or more different forms; "polymorphous crystallization"  
*polynomial----------------a| having the character of a polynomial; "a polynomial expression"  
*polypetalous--------------s| having a corolla composed of many separated or distinct petals  
*polyphonic----------------a| having two or more independent but harmonically related melodic parts sounding together  
*polyphonic----------------a| having two or more phonetic values; "polyphonic letters such as `a'"  
*polyphonic----------------a| of or relating to or characterized by polyphony; "polyphonic traditions of the baroque"  
*polyphonically------------r| in a polyphonic manner; "polyphonically composed"  
*polyploid-----------------a| of a cell or organism having more than twice the haploid number of chromosomes; "a polyploid cell"; "a polyploid species"  
*polysemous----------------s| of words; having many meanings  
*polysyllabic--------------s| (of words) long and ponderous; having many syllables; "sesquipedalian technical terms"  
*polysyllabic--------------s| having or characterized by words of more than three syllables  
*polysyllabically----------r| in a polysyllabic manner  
*polytheistic--------------a| worshipping or believing in more than one god  
*polytonal-----------------s| using more than one key or tonality simultaneously; "exciting rhythms and polytonal harmonies"  
*polyunsaturated-----------s| (of long-chain carbon compounds especially fats) having many unsaturated bonds  
*polyvalent----------------a| containing several antibodies each capable of counteracting a specific antigen; "a polyvalent vaccine"  
*polyvalent----------------a| having more than one valence, or having a valence of 3 or higher  
*pomade--------------------v| apply pomade to (hair)  
*pomaded-------------------s| (of hair) groomed with pomade; "pomaded hair"  
*pompadour-----------------v| style women's hair in a pompadour  
*pompously-----------------r| in a pompous manner; "he pompously described his achievements"  
*ponderable----------------a| capable of being weighed or considered; "something ponderable from the outer world--something of which we can say that its weight is so and so"- James Jeans  
*ponderous-----------------s| having great mass and weight and unwieldiness; "a ponderous stone"; "a ponderous burden"; "ponderous weapons"  
*ponderous-----------------s| labored and dull; "a ponderous speech"  
*ponderously---------------r| in a heavy ponderous manner; "he moves ponderously"  
*ponderously---------------r| in an uninterestingly ponderous manner; "the play was staged with ponderously realistic sets"  
*poniard-------------------v| stab with a poniard  
*pontificate---------------v| administer a pontifical office  
*pontificate---------------v| talk in a dogmatic and pompous manner; "The new professor always pontificates"  
*pooch---------------------v| round one's lips as if intending to kiss  
*pooh-pooh-----------------v| express contempt about  
*pool----------------------v| combine into a common fund; "We pooled resources"  
*pool----------------------v| join or form a pool of people  
*poop_out------------------v| use up all one's strength and energy and stop working; "At the end of the march, I pooped out"  
*poor----------------------a| badly supplied with desirable qualities or substances; "a poor land"; "the area was poor in timber and coal"; "food poor in nutritive value"  
*poor----------------------a| characterized by or indicating lack of money; "the country had a poor economy"  
*poor----------------------a| having little money or few possessions; "deplored the gap between rich and poor countries"; "the proverbial poor artist living in a garret"  
*poor----------------------s| low in degree; "expectations were poor"  
*poor----------------------s| unsatisfactory; "a poor light for reading"; "poor morale"  
*pop-----------------------r| like a pop or with a pop; "everything went pop"  
*pop-----------------------v| burst open with a sharp, explosive sound; "The balloon popped"; "This popcorn pops quickly in the microwave oven"  
*pop-----------------------v| cause to burst with a lound, explosive sound; "The child popped the balloon"  
*pop-----------------------v| cause to make a sharp explosive sound; "He popped the champagne bottle"  
*pop-----------------------v| fire a weapon with a loud explosive noise; "The soldiers were popping"  
*pop-----------------------v| hit a pop-fly; "He popped out to shortstop"  
*pop-----------------------v| hit or strike; "He popped me on the head"  
*pop-----------------------v| make a sharp explosive noise; "The cork of the champagne bottle popped"  
*pop-----------------------v| put or thrust suddenly and forcefully; "pop the pizza into the microwave oven"; "He popped the petit-four into his mouth"  
*pop-----------------------v| release suddenly; "pop the clutch"  
*pop-----------------------v| take drugs, especially orally; "The man charged with murder popped a valium to calm his nerves"  
*pop_in--------------------v| enter briefly; "He popped in for two minutes"  
*pop_off-------------------v| leave quickly  
*pop_out-------------------v| appear suddenly; "Spring popped up everywhere in the valley"  
*pop_out-------------------v| exit briefly; "He popped out for a quick coffee break"  
*popeyed-------------------s| having bulging eyes  
*popishly------------------r| like the Pope; in a popish manner  
*popliteal-----------------a| of or relating to the area behind the knee joint  
*popular-------------------a| regarded with great favor, approval, or affection especially by the general public; "a popular tourist attraction"; "a popular girl"; "cabbage patch dolls are no longer popular"  
*popular-------------------s| (of music or art) new and of general appeal (especially among young people)  
*popular-------------------s| carried on by or for the people (or citizens) at large; "the popular vote"; "popular representation"; "institutions of popular government"  
*popularize----------------v| cater to popular taste to make popular and present to the general public; bring into general or common use; "They popularized coffee in Washington State"; "Relativity Theory was vulgarized by these authors"  
*popularize----------------v| make understandable to the general public; "Carl Sagan popularized cosmology in his books"  
*popularly-----------------r| among the people; "this topic was popularly discussed"  
*populated-----------------s| furnished with inhabitants; "the area is well populated"; "forests populated with all kinds of wild life"  
*populous------------------s| densely populated  
*porcine-------------------a| relating to or suggesting swine; "comparison between human and porcine pleasures"  
*pornographic--------------s| designed to arouse lust; "pornographic films and magazines"  
*pornographically----------r| in a pornographic manner  
*porose--------------------s| forming a continuous series of pores; "a porose hymenium"  
*porous--------------------a| full of pores or vessels or holes  
*porous--------------------s| able to absorb fluids; "the partly porous walls of our digestive system"; "compacting the soil to make it less porous"  
*porphyritic---------------a| (of rocks) consisting of porphyry or containing large crystals in a fine groundmass of minerals  
*port----------------------s| located on the left side of a ship or aircraft  
*port----------------------v| bring to port; "the captain ported the ship at night"  
*port----------------------v| carry or hold with both hands diagonally across the body, especially of weapons; "port a rifle"  
*port----------------------v| carry, bear, convey, or bring; "The small canoe could be ported easily"  
*port----------------------v| drink port; "We were porting all in the club after dinner"  
*port----------------------v| land at or reach a port; "The ship finally ported"  
*port----------------------v| put or turn on the left side, of a ship; "port the helm"  
*port----------------------v| transfer data from one computer to another via a cable that links connecting ports  
*port----------------------v| turn or go to the port or left side, of a ship; "The big ship was slowly porting"  
*portable------------------a| easily or conveniently transported; "a portable television set"  
*portable------------------s| of a motor designed to be attached to the outside of a boat's hull; "a portable outboard motor"  
*portentous----------------s| of momentous or ominous significance; "such a portentous...monster raised all my curiosity"- Herman Melville; "a prodigious vision"  
*portentously--------------r| in a portentous manner; "portentously, the engines began to roll"  
*porter--------------------v| carry luggage or supplies; "They portered the food up Mount Kilimanjaro for the tourists"  
*portly--------------------s| euphemisms for `fat'; "men are portly and women are stout"  
*portray-------------------v| make a portrait of; "Goya wanted to portray his mistress, the Duchess of Alba"  
*portray-------------------v| portray in words; "The book portrays the actor as a selfish person"  
*portray-------------------v| represent in a painting, drawing, sculpture, or verbally; "The father is portrayed as a good-looking man in this painting"  
*Portuguese----------------a| of or relating to or characteristic of Portugal or the people of Portugal; "Portuguese wines"  
*pose----------------------v| behave affectedly or unnaturally in order to impress others; "Don't pay any attention to him--he is always posing to impress his peers!"; "She postured and made a total fool of herself"  
*pose----------------------v| pretend to be someone you are not; sometimes with fraudulent intentions; "She posed as the Czar's daughter"  
*posed---------------------a| arranged for pictorial purposes  
*position------------------v| cause to be in an appropriate place, state, or relation  
*positionable--------------a| capable of being positioned  
*positional----------------a| of or relating to or determined by position  
*positive------------------a| characterized by or displaying affirmation or acceptance or certainty etc.; "a positive attitude"; "the reviews were all positive"; "a positive benefit"; "a positive demand"  
*positive------------------a| having a positive electric charge; "protons are positive"  
*positive------------------a| indicating existence or presence of a suspected condition or pathogen; "a positive pregnancy test"  
*positive------------------s| formally laid down or imposed; "positive laws"  
*positive------------------s| greater than zero; "positive numbers"  
*positively----------------r| extremely; "it was positively monumental"  
*positively_charged--------s| having a positive charge  
*positivist----------------a| of or relating to positivism; "positivist thinkers"; "positivist doctrine"; "positive philosophy"  
*possess-------------------v| enter into and control, as of emotions or ideas; "What possessed you to buy this house?"; "A terrible rage possessed her"  
*possess-------------------v| have as an attribute, knowledge, or skill; "he possesses great knowledge about the Middle East"  
*possessive----------------a| serving to express or indicate possession; "possessive pronouns"; "the genitive endings"  
*possessive----------------s| desirous of owning; "small children are so possessive they will not let others play with their toys"  
*possessive----------------s| having or showing a desire to control or dominate; "a possessive parent"  
*possessively--------------r| in a possessive manner; "he was sleeping, one arm flung possessively across his wife"  
*possible------------------a| capable of happening or existing; "a breakthrough may be possible next year"; "anything is possible"; "warned of possible consequences"  
*possibly------------------r| by chance; "perhaps she will call tomorrow"; "we may possibly run into them at the concert"; "it may peradventure be thought that there never was such a time"  
*possibly------------------r| in a manner or to a degree possible of conceiving; "is it possibly true?"  
*possibly------------------r| to a degree possible of achievement or by possible means; "they can't possibly get here in time for the funeral?"  
*possibly------------------r| with a possibility of becoming actual; "introducing possibly dangerous innovations"; "he is potentially dangerous"; "potentially useful"  
