Tue |Thu |      0|30-04-0520| 1500| 215 |   1505|Yes |LQ   4|   N/A   |-- Exact 1500 Years Ago -- 
Mon |Thu |      0|30-04-1900|  120|  18 |    130|No  |.    0|2018 2075|Hawaii was organized as an official U.S. territory.
Tue |Thu |      0|30-04-1912|  108|  16 |    113|Yes |FQ  12|2018 2075|B Day:-Eve Arden, Our Miss Brooks
Fri |Thu |      0|30-04-1920|  100|  14 |    102|Yes |FQ  11|2018 2075|-- Exact 100 Years Ago -- 
Mon |Thu |      0|30-04-1923|   97|  15 |    107|No  |O * 14|2018 2075|--- Calendar Blue Moon ---- @ Mon-30-Apr-1923 09:30:29p --- 2nd Full Moon in Month
Wed |Thu |      0|30-04-1930|   90|  13 |     96|No  |.    1|2018 2075|Jesus of Nazareth was crucified.
Wed |Thu |      0|30-04-1930|   90|  13 |     96|No  |.    1|2018 2075|The Soviet Union proposed a military alliance with France and Great Britain.
Thu |Thu |      0|30-04-1931|   89|  13*|     96|No  |FQ  11|2018 2075|The George Washington Bridge, linking New York City and New Jersey, opened.
Sun |Thu |      0|30-04-1939|   81|  12 |     85|No  |FQ  10|2018 2075|Lou Gehrig played his last game with the New York Yankees.
Sun |Thu |      0|30-04-1939|   81|  12 |     85|No  |FQ  10|2018 2075|The first railroad car equipped with fluorescent lights was put into service. The train car was known as the "General Pershing Zephyr."
Tue |Thu |      0|30-04-1940|   80|  12 |     85|Yes |LQ  22|2018 2075|Belle Martell was licensed in California by state boxing officials. She was the first American woman, prizefight referee.
Thu |Thu |      0|30-04-1942|   78|  11*|     85|No  |O * 15|2018 2075|--- Calendar Blue Moon ---- @ Thu-30-Apr-1942 09:59:52p --- 2nd Full Moon in Month
Fri |Thu |      0|30-04-1943|   77|  11 |     79|No  |LQ  25|2018 2075|The British submarine HMS Seraph dropped 'the man who never was,' a dead man the British planted with false invasion plans, into the Mediterranean off the coast of Spain.
Mon |Thu |      0|30-04-1945|   75|  12 |     85|No  |O   17|2018 2075|Adolf Hitler and Eva Braun committed suicide. They had been married for one day. One week later Germany surrendered unconditionally.
Mon |Thu |      0|30-04-1945|   75|  12 |     85|No  |O   17|2018 2075|Arthur Godfrey began his CBS radio morning show "Arthur Godfrey Time." It ran until this day in 1972.
Wed |Thu |      0|30-04-1947|   73|  11 |     79|No  |FQ   8|2018 2075|The name of Boulder Dam, in Nevada, was changed back to Hoover Dam.
Fri |Thu |      0|30-04-1948|   72|  10 |     74|Yes |O   20|2018 2075|The Organization of American States held its first meeting in Bogota, Colombia.
Thu |Thu |      0|30-04-1953|   67|  10*|     74|No  |O   16|2018 2075|The British West Indian colonies agreed on the formation of the British Caribbean Federation that would eventually become a self-governing unit in the British Commonwealth.
Sun |Thu |      0|30-04-1961|   59|   9 |     63|No  |O * 15|2018 2075|--- Calendar Blue Moon ---- @ Sun-30-Apr-1961 06:41:01p --- 2nd Full Moon in Month
Thu |Thu |      0|30-04-1964|   56|   8*|     63|Yes |O   17|2018 2075|The FCC ruled that all TV receivers should be equipped to receive both VHF and UHF channels.
Tue |Thu |      0|30-04-1968|   52|   8 |     57|Yes |.    2|2018 2075|U.S. Marines attacked a division of North Vietnamese in the village of Dai Do.
Thu |Thu |      0|30-04-1970|   50|   7*|     57|No  |LQ  23|2018 2075|-- Exact Fifty Years Ago -- 
Thu |Thu |      0|30-04-1970|   50|   7*|     57|No  |LQ  23|2018 2075|U.S. troops invaded Cambodia to disrupt North Vietnamese Army base areas. The announcement by U.S. President Nixon led to widespread protests.
Sun |Thu |      0|30-04-1972|   48|   7 |     52|Yes |O   16|2018 2075|The North Vietnamese launched an invasion of the South.
Mon |Thu |      0|30-04-1973|   47|   8 |     57|No  |LQ  26|2018 2075|U.S. President Nixon announced resignation of Haldeman, Ehrlichman, and other top aides.
Wed |Thu |      0|30-04-1975|   45|   7 |     51|No  |O   18|2018 2075|Communists North Vietnamese troops entered the Independence Palace of South Vietnam in Saigon. 11 Marines lifted off of the U.S. Embassy were the last soldiers to evacuate.
Wed |Thu |      0|30-04-1980|   40|   6 |     46|Yes |O * 15|2018 2075|Terrorists seized the Iranian Embassy in London.
Mon |Thu |      0|30-04-1984|   36|   6 |     46|Yes |LQ  28|2018 2075|U.S. President Reagan signed cultural and scientific agreements with China. He also signed a tax accord that would make it easier for American companies to operate in China.
Tue |Thu |      0|30-04-1991|   29|   5 |     34|No  |O   15|2018 2075|An estimated 125,000 people were killed in a cyclone that hit Bangladesh.
Fri |Thu |      0|30-04-1993|   27|   4 |     29|No  |FQ   8|2018 2075|Crime-General -- Tennis star stabbed
Fri |Thu |      0|30-04-1993|   27|   4 |     29|No  |FQ   8|2018 2075|Monica Seles was stabbed in the back during a tennis match in Hamburg, Germany. The man called himself a fan of second- ranked Steffi Graf. He was convicted of causing grievous bodily harm and received a suspended sentence.
Wed |Thu |      0|30-04-1997|   23|   4 |     29|No  |LQ* 22|2018 2075|ABC aired the "coming out" episode of the sitcom "Ellen." The title character, played by Ellen DeGeneres, admitted she was a lesbian.
Thu |Thu |      0|30-04-1998|   22|   3*|     29|No  |.    3|2018 2075|In the U.S., Federal regulators fined a contractor $2.25 million for improper handling of oxygen canisters on ValuJet that crashed in the Florida Everglades in 1996.
Thu |Thu |      0|30-04-1998|   22|   3*|     29|No  |.    3|2018 2075|Karen Dillon 03rd of 62
Thu |Thu |      0|30-04-1998|   22|   3*|     29|No  |.    3|2018 2075|NATO was expanded to include Poland, Hungary and the Czech Republic. The three nations were formally admitted the following April at NATO's 50th anniversary summit.
Thu |Thu |      0|30-04-1998|   22|   3*|     29|No  |.    3|2018 2075|United and Delta airlines announced their alliance that would give them control of 1/3 of all U.S. passenger seats.
Fri |Thu |      0|30-04-1999|   21|   3 |     23|No  |O * 14|2018 2075|Bombings -- Dozens injured in Soho nail bomb
Sun |Thu |      0|30-04-2000|   20|   3 |     24|Yes |LQ  25|2018 2075|-- Exact Twenty Years Ago -- 
Mon |Thu |      0|30-04-2001|   19|   4 |     29|No  |FQ*  7|2018 2075|Chandra Levy was last seen in Washington, DC. Her remains were found in Rock Creek Park on May 22, 2002. California Congressman Gary Condit was questioned in the case due to his relationship with Levy.
Fri |Thu |      0|30-04-2010|   10|   1 |     12|No  |O   15|2018 2075|-- Exact Ten Years Ago -- 
Thu |Thu |      0|30-04-2015|    5|   1*|     12|No  |FQ  11|2018 2075|-- Exact Five Years Ago -- 
Sat |Thu |      0|30-04-2016|    4|   1 |      7|Yes |LQ* 22|2018 2075|-- Exact Five Years Ago -- 
Sun |Thu |      0|30-04-2017|    3|   1 |      7|No  |.    3|2018 2075|-- Exact Three Years Ago -- 
Mon |Thu |      0|30-04-2018|    2|   1 |     12|No  |O * 13|2018 2075|-- Exact Two Years Ago -- 
Tue |Thu |      0|30-04-2019|    1|   1 |      6|No  |LQ  24|2018 2075|-- Exact One Years Ago -- 
Sat |Fri |      1|01-05-0100| 1921| 268 |   1923|No  |.   14|   N/A   |-- Exactly The Next Day Year 100 -- -- -- -- -- -- ·-·´¯`·.¸.¸.·´¯`·..¸><(((º> --- (¯`'•.¸ -‹(•¿•)›- ¸.•'´¯)
Mon |Fri |      1|01-05-1769|  251|  36 |    255|No  |LQ  24|   N/A   |B DAY:-Duke of Wellington - Militarist
Mon |Fri |      1|01-05-1769|  251|  36 |    255|No  |LQ  24|   N/A   |B Day:-Duke of Wellington, who made Napoleon very unhappy.
Sat |Fri |      1|01-05-1830|  190|  26 |    192|No  |FQ   8|   N/A   |B Day:-Mary Harris Jones (Mother Jones), hellraiser
Fri |Fri |      1|01-05-1840|  180|  26*|    187|Yes |LQ  28|   N/A   |Event:-1st adhesive postage stamps ("Penny Blacks" from England) issued.
Tue |Fri |      1|01-05-1860|  160|  24 |    170|Yes |FQ   9|   N/A   |Event:-1st school for the deaf founded.
Sun |Fri |      1|01-05-1881|  139|  21 |    142|No  |.    2|   N/A   |B DAY:-Pierre.T. De Chardin - Priest Philosopher
Thu |Fri |      1|01-05-1884|  136|  19 |    142|Yes |.    5|   N/A   |Event:-construction begins in Chicago on the 1st skyscraper.
Wed |Fri |      1|01-05-1918|  102|  15 |    107|No  |O   19|1912 2026|B DAY:-Jack Paar - TV Host
Tue |Fri |      1|01-05-1945|   75|  12 |     85|No  |O   18|1912 2026|B DAY:-Rita Coolidge - Singer
Tue |Fri |      1|01-05-1945|   75|  12 |     85|No  |O   18|1912 2026|World War II -- Germany announces Hitler is dead
Fri |Fri |      1|01-05-1998|   22|   3*|     29|No  |.    4|1912 2026|Jennifer A Light 6th of 7
Wed |Fri |      1|01-05-2002|   18|   3 |     23|No  |O   18|1912 2026|Karen Dillon 36th of 62
Wed |Fri |      1|01-05-2019|    1|   1 |      6|No  |LQ  25|1912 2026|--- Last -- Event:- May Day - Labour Day ---- @ Wed-01-May-2019
Wed |Fri |      1|01-05-2019|    1|   1 |      6|No  |LQ  25|1912 2026|--- Last -- Event:- St Philip and St James ---- @ Wed-01-May-2019
Fri |Fri |      1|01-05-2020|   -1|   0*|      6|Yes |FQ   7|1912 2026|-- Exactly The Next Day -- 
Fri |Fri |      1|01-05-2020|   -1|   0*|      6|Yes |FQ   7|1912 2026|-- Exactly The Next Start Month -- 
Fri |Fri |      1|01-05-2020|   -1|   0*|      6|Yes |FQ   7|1912 2026|--- Next -- Event:- May Day - Labour Day ---- @ Fri-01-May-2020
Fri |Fri |      1|01-05-2020|   -1|   0*|      6|Yes |FQ   7|1912 2026|--- Next -- Event:- St Philip and St James ---- @ Fri-01-May-2020
Wed |Sat |      2|02-05-2007|   13|   3 |     23|No  |O * 14|2007 2053|--- Full Moon * ---- @ Wed-02-May-2007 10:10:33a
Sat |Sat |      2|02-05-2020|   -1|   0*|      6|Yes |FQ   8|2007 2053|-- Exactly The Second Day -- 
Tue |Sun |      3|03-05-2011|    9|   2 |     12|No  |. *  0|1996 2034|--- New Moon * ---- @ Tue-03-May-2011 06:51:47a
Sun |Sun |      3|03-05-2020|   -1|   0*|      6|Yes |FQ   9|1996 2034|-- Exactly The Third Day -- 
Mon |Mon |      4|04-05-2020|   -1|   0*|      6|Yes |FQ  10|2015 2061|Event:- May Bank Holiday
Sun |Tue |      5|05-05-2002|   18|   3 |     23|No  |LQ  22|1947 2023|Cathy-link-worker Fuller  4 of 16
Wed |Tue |      5|05-05-2004|   15|   2 |     17|Yes |O   15|1947 2023|Karen Dillon 60th of 62 2pm home
Mon |Tue |      5|05-05-2008|   11|   2 |     17|Yes |. *  0|1947 2023|--- New Moon * ---- @ Mon-05-May-2008 12:19:23p
Sun |Tue |      5|05-05-2019|    0|   1 |      5|No  |.    0|1947 2023|--- Last -- Event:- Cinco de Mayo - Mexico ---- @ Sun-05-May-2019
Tue |Tue |      5|05-05-2020|   -1|   0*|      6|Yes |FQ  11|1947 2023|--- Next -- Event:- Cinco de Mayo - Mexico ---- @ Tue-05-May-2020
Wed |Wed |      6|06-05-1953|   67|  10*|     74|No  |LQ* 22|2012 2050|Birthday - Tony Blairs
Wed |Wed |      6|06-05-1998|   22|   3*|     29|No  |FQ   9|2012 2050|Dr Habgood Cristine  2 of 21
Wed |Wed |      6|06-05-1998|   22|   3*|     29|No  |FQ   9|2012 2050|Surgical scalpel at the clinc laugh
Sun |Wed |      6|06-05-2012|    7|   2 |     17|Yes |O * 14|2012 2050|--- Full Moon * ---- @ Sun-06-May-2012 03:36:13a
Wed |Thu |      7|07-05-2003|   16|   3 |     22|No  |.    5|2001*2031|Karen Dillon 50th of 62 3.30pm
Thu |Thu |      7|07-05-2020|   -1|   0*|      6|Yes |O * 14|2001*2031|-- Exactly The Next Week -- 
Fri |Fri |      8|08-05-1998|   21|   3*|     28|No  |FQ  11|1982 2028|Dr Habgood Cristine  3 of 21
Fri |Fri |      8|08-05-1998|   21|   3*|     28|No  |FQ  11|1982 2028|Surgical scalpel at the clinc fine
Wed |Fri |      8|08-05-2002|   17|   3 |     22|No  |LQ  25|1982 2028|Karen Dillon 37th of 62
Wed |Fri |      8|08-05-2019|    0|   1 |      5|No  |.    3|1982 2028|--- Event:- World Red Cross Day ---- @ Wed-08-May-2019
Wed |Fri |      8|08-05-2019|    0|   1 |      5|No  |.    3|1982 2028|--- Last -- Event:- World Red Cross Day ---- @ Wed-08-May-2019
Fri |Fri |      8|08-05-2020|   -1|   0*|      6|Yes |O   14|1982 2028|--- Event:- World Red Cross Day ---- @ Fri-08-May-2020
Fri |Fri |      8|08-05-2020|   -1|   0*|      6|Yes |O   14|1982 2028|--- Next -- Event:- World Red Cross Day ---- @ Fri-08-May-2020
Fri |Sat |      9|09-05-1997|   22|   4 |     28|No  |.    2|2009 2047|Dr Schaik 1 of 4  9.30am
Sat |Sat |      9|09-05-2009|   10|   2*|     17|No  |O * 14|2009 2047|--- Full Moon * ---- @ Sat-09-May-2009 04:02:33a
Fri |Sun |     10|10-05-2002|   17|   3 |     22|No  |LQ  27|2017 2036|Dr Habgood Cristine 16 of 21
Fri |Sun |     10|10-05-2013|    6|   2 |     11|No  |. *  0|2017 2036|--- New Moon * ---- @ Fri-10-May-2013 12:29:39a
Mon |Mon |     11|11-05-1998|   21|   3*|     28|No  |O * 15|1998 2055|Spining storm wake in morning to slow grind of metal in back yard
Tue |Tue |     12|12-05-1998|   21|   3*|     28|No  |O   15|1979 2025|Karen Dillon 04th of 62
Sun |Tue |     12|12-05-2019|    0|   1 |      5|No  |FQ*  7|1979 2025|--- Last -- Event:- Limerick Day - Birthday of Edward Lear ---- @ Sun-12-May-2019
Tue |Tue |     12|12-05-2020|   -1|   0*|      6|Yes |O   18|1979 2025|--- Next -- Event:- Limerick Day - Birthday of Edward Lear ---- @ Tue-12-May-2020
Mon |Wed |     13|13-05-1996|   23|   4 |     28|Yes |LQ  25|2006 2052|**Possessing Controlled Drug Puff & Magic M's
Wed |Wed |     13|13-05-1998|   21|   3*|     28|No  |O   16|2006 2052|Dr Baker appointment Rutland Spinning Storm
Mon |Wed |     13|13-05-2002|   17|   3 |     22|No  |.    0|2006 2052|Karen Dillon 38th of 62
Sat |Thu |     14|14-05-1994|   25|   4 |     28|No  |.    3|2014 2033|A day for pirate radio RYTHM FM
Thu |Thu |     14|14-05-1998|   21|   3*|     28|No  |O   17|2014 2033|Karen Dillon 05th of 62
Fri |Thu |     14|14-05-2010|    9|   1 |     11|No  |. *  0|2014 2033|--- New Moon * ---- @ Fri-14-May-2010 01:05:28a
Wed |Thu |     14|14-05-2014|    5|   1 |     11|No  |O * 15|2014 2033|--- Full Moon * ---- @ Wed-14-May-2014 07:17:00p
Thu |Thu |     14|14-05-2020|   -1|   0*|      6|Yes |LQ* 21|2014 2033|-- Exactly The Next Two Weeks -- 
Wed |Fri |     15|15-05-2002|   17|   3 |     22|No  |.    2|1984 2060|Cathy-link-worker Fuller  5 of 16
Thu |Fri |     15|15-05-2003|   16|   3 |     22|No  |FQ  13|1984 2060|Rachel Robinson link worker 1 of 4 11am
Wed |Sat |     16|16-05-2007|   12|   3 |     22|No  |. *  0|2003 2022|--- New Moon * ---- @ Wed-16-May-2007 07:28:24p
Tue |Sun |     17|17-05-2011|    8|   2 |     11|No  |O * 14|2011 2030|--- Full Moon * ---- @ Tue-17-May-2011 11:09:42a
Wed |Mon |     18|18-05-1921|   99|  15 |    102|No  |FQ  10|2019 2038|Birthday - Pope John Paul II
Sat |Mon |     18|18-05-2019|    0|   1 |      5|No  |O * 13|2019 2038|--- Last -- Event:- International Museum Day ---- @ Sat-18-May-2019
Mon |Mon |     18|18-05-2020|   -1|   0*|      6|Yes |LQ  24|2019 2038|--- Next -- Event:- International Museum Day ---- @ Mon-18-May-2020
Sat |Tue |     19|19-05-1923|   97|  15 |    107|No  |.    3|1981 2095|Birthday Grandma
Wed |Tue |     19|19-05-2004|   15|   2 |     17|Yes |. *  0|1981 2095|Grandad Died Jack -- John Edward Alcott
Thu |Wed |     20|20-05-2004|   15|   2 |     17|Yes |.    0|2008 2027|Thunder Storm
Tue |Wed |     20|20-05-2008|   11|   2 |     17|Yes |O * 14|2008 2027|--- Full Moon * ---- @ Tue-20-May-2008 02:12:30a
Sun |Wed |     20|20-05-2012|    7|   2 |     17|Yes |. *  0|2008 2027|--- New Moon * ---- @ Sun-20-May-2012 11:48:13p
Sun |Thu |     21|21-05-1922|   98|  14 |    102|No  |LQ  23|2016 2054|Birthday Reg Philips
Thu |Thu |     21|21-05-1998|   21|   3*|     28|No  |LQ  24|2016 2054|Karen Dillon 06th of 62
Tue |Thu |     21|21-05-2019|    0|   1 |      5|No  |O   16|2016 2054|--- Last -- Event:- 3rd Sign Gemini May21 Jun21 Air Sign Ruled by Mercury: The twins ---- @ Tue-21-May-2019
Thu |Thu |     21|21-05-2020|   -1|   0*|      6|Yes |LQ  27|2016 2054|--- Next -- Event:- 3rd Sign Gemini May21 Jun21 Air Sign Ruled by Mercury: The twins ---- @ Thu-21-May-2020
Mon |Fri |     22|22-05-2000|   19|   3 |     23|Yes |O   17|1997 2035|Karen Dillon 21st of 62
Sat |Fri |     22|22-05-2004|   15|   2 |     17|Yes |.    2|1997 2035|First Sign of baby Starlings
Wed |Sun |     24|24-05-2000|   19|   3 |     23|Yes |O   19|1956 2089|Schizophrenia day
Sun |Sun |     24|24-05-2009|   10|   2*|     17|No  |. *  0|1956 2089|--- New Moon * ---- @ Sun-24-May-2009 12:12:07p
Fri |Sun |     24|24-05-2019|    0|   1 |      5|No  |O   19|1956 2089|--- Last -- Event:- Victoria Day - Canada ---- @ Fri-24-May-2019
Sun |Sun |     24|24-05-2020|   -1|   0*|      6|Yes |.    1|1956 2089|--- Next -- Event:- Victoria Day - Canada ---- @ Sun-24-May-2020
Sun |Mon |     25|25-05-1969|   50|   8 |     56|No  |FQ   8|2013 2032|Birthday Rachel Davis
Thu |Mon |     25|25-05-2000|   19|   3 |     23|Yes |O   20|2013 2032|Karen Dillon 22nd of 62 home i dogged her out
Sat |Mon |     25|25-05-2013|    6|   2 |     11|No  |O * 15|2013 2032|--- Full Moon * ---- @ Sat-25-May-2013 04:26:01a
Thu |Tue |     26|26-05-1977|   42|   7 |     45|No  |FQ*  8|2002 2021|Joanne Birthday Eddies girlfriend
Mon |Wed |     27|27-05-2002|   17|   3 |     22|No  |O   14|1945 2029|Cathy-link-worker Fuller  6 of 16
Thu |Wed |     27|27-05-2010|    9|   1 |     11|No  |O * 13|1945 2029|--- Full Moon * ---- @ Thu-27-May-2010 11:08:24p
Thu |Thu |     28|28-05-1998|   21|   3*|     28|No  |.    2|2010 2067|Jennifer A Light 7th of 7
Sun |Thu |     28|28-05-2006|   13|   2 |     17|No  |.    0|2010 2067|First Sign of baby Starlings
Wed |Thu |     28|28-05-2014|    5|   1 |     11|No  |. *  0|2010 2067|--- New Moon * ---- @ Wed-28-May-2014 06:41:19p
Thu |Sat |     30|30-05-1912|  107|  16 |    112|Yes |O * 14|1999 2045|--- Calendar Blue Moon ---- @ Thu-30-May-1912 11:29:26p --- 2nd Full Moon in Month
Sun |Sun |     31|31-05-1931|   88|  13*|     95|No  |O * 13|1988 2026|--- Calendar Blue Moon ---- @ Sun-31-May-1931 02:33:11p --- 2nd Full Moon in Month
Wed |Sun |     31|31-05-1950|   69|  10 |     73|No  |O * 14|1988 2026|--- Calendar Blue Moon ---- @ Wed-31-May-1950 12:43:27p --- 2nd Full Moon in Month
Sat |Sun |     31|31-05-1969|   50|   8 |     56|No  |O * 15|1988 2026|--- Calendar Blue Moon ---- @ Sat-31-May-1969 01:18:49p --- 2nd Full Moon in Month
Tue |Sun |     31|31-05-1988|   31|   5 |     34|Yes |O * 15|1988 2026|--- Calendar Blue Moon ---- @ Tue-31-May-1988 10:54:16a --- 2nd Full Moon in Month
Tue |Sun |     31|31-05-2005|   14|   3 |     17|No  |LQ  22|1988 2026|Dr El Sayed 20th 2pm
Fri |Sun |     31|31-05-2019|    0|   1 |      5|No  |LQ  26|1988 2026|--- Last -- Event:- Birthday Paul Brown ---- @ Fri-31-May-2019
Sun |Sun |     31|31-05-2020|   -1|   0*|      6|Yes |FQ   8|1988 2026|--- Next -- Event:- Birthday Paul Brown ---- @ Sun-31-May-2020
Mon |Mon |     32|01-06-1998|   21|   3*|     28|No  |.    6|2007 2053|Dr Habgood Cristine  4 of 21
Fri |Mon |     32|01-06-2007|   12|   3 |     22|No  |O * 15|2007 2053|--- Full Moon * ---- @ Fri-01-Jun-2007 01:04:42a
Fri |Mon |     32|01-06-2007|   12|   3 |     22|No  |O * 15|2007 2053|Section 6th Time Baricaded Door Smashed down
Wed |Mon |     32|01-06-2011|    8|   2 |     11|No  |. *  0|2007 2053|--- New Moon * ---- @ Wed-01-Jun-2011 09:03:41p
Sat |Mon |     32|01-06-2019|    0|   1 |      5|No  |LQ  27|2007 2053|--- Last -- Event:- Start of Season Summer Jun to Sep -- Amature Stuff ---- @ Sat-01-Jun-2019
Sat |Mon |     32|01-06-2019|    0|   1 |      5|No  |LQ  27|2007 2053|--- Last -- Event:- Wimbledon begins ---- @ Sat-01-Jun-2019
Mon |Mon |     32|01-06-2020|   -1|   0*|      6|Yes |FQ   9|2007 2053|-- Exactly The Next Start Two Months -- 
Mon |Mon |     32|01-06-2020|   -1|   0*|      6|Yes |FQ   9|2007 2053|--- Next -- Event:- Start of Season Summer Jun to Sep -- Amature Stuff ---- @ Mon-01-Jun-2020
Mon |Mon |     32|01-06-2020|   -1|   0*|      6|Yes |FQ   9|2007 2053|--- Next -- Event:- Wimbledon begins ---- @ Mon-01-Jun-2020
Tue |Wed |     34|03-06-2008|   11|   2 |     17|Yes |. *  0|2004 2042|--- New Moon * ---- @ Tue-03-Jun-2008 07:23:44p
Mon |Thu |     35|04-06-2012|    7|   2 |     17|Yes |O * 14|2012 2023|--- Full Moon * ---- @ Mon-04-Jun-2012 11:12:39a
Wed |Fri |     36|05-06-2002|   17|   3 |     22|No  |LQ  23|1955*2031|Karen Dillon 39th of 62
Wed |Fri |     36|05-06-2019|    0|   1 |      5|No  |.    1|1955*2031|--- Last -- Event:- World Environment Day ---- @ Wed-05-Jun-2019
Fri |Fri |     36|05-06-2020|   -1|   0*|      6|Yes |O * 14|1955*2031|--- Next -- Event:- World Environment Day ---- @ Fri-05-Jun-2020
Fri |Fri |     36|05-06-2020|   -1|   0*|      6|Yes |O * 14|1955*2031|--- Next # Lunar Eclipse -Penumbral 05-06-2020 07:11:00p GMT
Wed |Sat |     37|06-06-1906|  113|  17 |    123|No  |O * 14|2001 2039|>>-Last '6 or 66' 666 On a Full Moon at: 21:11:35
Wed |Sat |     37|06-06-2001|   18|   4 |     28|No  |O * 13|2001 2039|>>-Last 666 On a Full Moon at: 01:40:32
Tue |Sat |     37|06-06-2006|   13|   2 |     17|No  |FQ   9|2001 2039|666 in 2006
Thu |Sat |     37|06-06-2019|    0|   1 |      5|No  |.    2|2001 2039|--- Last -- Event:- D-Day WWII ---- @ Thu-06-Jun-2019
Sat |Sat |     37|06-06-2020|   -1|   0*|      6|Yes |O   14|2001 2039|--- Next -- Event:- D-Day WWII ---- @ Sat-06-Jun-2020
Sat |Sat |     37|06-06-2020|   -1|   0*|      6|Yes |O   14|2001 2039|>>-This 666 ----
Wed |Sun |     38|07-06-2000|   19|   3 |     23|Yes |.    4|2009 2028|Karen Dillon 23rd of 62 home 3.30pm
Sun |Sun |     38|07-06-2009|   10|   2*|     17|No  |O * 14|2009 2028|--- Full Moon * ---- @ Sun-07-Jun-2009 06:12:55p
Sat |Mon |     39|08-06-2013|    6|   2 |     11|No  |. *  0|1990 2036|--- New Moon * ---- @ Sat-08-Jun-2013 03:57:36p
Mon |Tue |     40|09-06-2003|   16|   3 |     22|No  |FQ   8|2017 2055|Karen Dillon 51st of 62 3.30pm canceled coz dr next day
Tue |Wed |     41|10-06-2003|   16|   3 |     22|No  |FQ   9|1998 2044|Dr El Sayed 8th cpa review
Mon |Wed |     41|10-06-2019|    0|   1 |      5|No  |FQ*  6|1998 2044|--- Last -- Event:- Birthday Sahara Ware ---- @ Mon-10-Jun-2019
Wed |Wed |     41|10-06-2020|   -1|   0*|      6|Yes |O   18|1998 2044|--- Next -- Event:- Birthday Sahara Ware ---- @ Wed-10-Jun-2020
Tue |Thu |     42|11-06-2002|   17|   3 |     22|No  |.    0|2006 2025|Cathy-link-worker Fuller  7 of 16
Tue |Thu |     42|11-06-2019|    0|   1 |      5|No  |FQ   7|2006 2025|--- Last -- Event:- St Barnabas ---- @ Tue-11-Jun-2019
Thu |Thu |     42|11-06-2020|   -1|   0*|      6|Yes |O   19|2006 2025|--- Next -- Event:- St Barnabas ---- @ Thu-11-Jun-2020
Sat |Fri |     43|12-06-2010|    9|   1 |     11|No  |. *  0|1976 2033|--- New Moon * ---- @ Sat-12-Jun-2010 11:15:43a
Fri |Sat |     44|13-06-2014|    5|   1 |     11|No  |O * 15|2014 2098|--- Friday The 13th On a Full Moon ---- @ Fri-13-Jun-2014
Fri |Sat |     44|13-06-2014|    5|   1 |     11|No  |O * 15|2014 2098|--- Full Moon * ---- @ Fri-13-Jun-2014 04:12:33a
Mon |Sun |     45|14-06-2004|   15|   2 |     17|Yes |LQ  25|2003 2022|Dr El Sayed 15th 10:30am
Tue |Mon |     46|15-06-1999|   20|   3 |     22|No  |.    1|2011 2030|Karen Dillon 11th of 62
Fri |Mon |     46|15-06-2001|   18|   4 |     28|No  |LQ  22|2011 2030|Dental surgrey With Dr s. Zucchi Fri 10:30am
